juego,anio,plataforma,decision,justificacion,evidencia_alcance,fuente_score,fuente_ventas
Super Mario Bros.,1985,NES,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Bros. 2,1988,NES,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Bros. 3,1990,NES,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario World,1991,SNES,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario 64,1996,Nintendo 64,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Sunshine,2002,GameCube,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
New Super Mario Bros.,2006,DS,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Galaxy,2007,Wii,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
New Super Mario Bros. Wii,2009,Wii,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Galaxy 2,2010,Wii,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario 3D Land,2011,3DS,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
New Super Mario Bros. 2,2012,3DS,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
New Super Mario Bros. U,2012,Wii U,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario 3D World,2013,Wii U,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Odyssey,2017,Switch,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Bros. Wonder,2023,Switch,Incluido,Entrega de plataformas incluida en la muestra analítica; se conserva su marca de comparabilidad de score.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Land,1989,Game Boy,Excluido,Título portátil fuera de la muestra analítica original; no se afirma que los 16 juegos sean un censo de la serie.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Land 2: 6 Golden Coins,1992,Game Boy,Excluido,Título portátil fuera de la muestra analítica original.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario World 2: Yoshi's Island,1995,SNES,Excluido,Se trata como subserie Yoshi para mantener el alcance histórico definido por el equipo.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Bros. Deluxe,1999,Game Boy Color,Excluido,Port / reedición de un título ya representado.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario 64 DS,2004,DS,Excluido,Remake / versión de un título ya representado.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
New Super Mario Bros. U Deluxe,2019,Switch,Excluido,Port / reedición de New Super Mario Bros. U.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario 3D World + Bowser's Fury,2021,Switch,Excluido,Port / reedición de Super Mario 3D World.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario 3D All-Stars,2020,Switch,Excluido,Compilación / reedición.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Maker,2015,Wii U,Excluido,Juego de creación de niveles; mecanismo de uso distinto al de plataformas tradicionales.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Maker 2,2019,Switch,Excluido,Juego de creación de niveles.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Super Mario Kart,1992,SNES,Excluido,Spin-off de carreras.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
Mario Party Superstars,2021,Switch,Excluido,Spin-off de minijuegos / party.,https://www.mariowiki.com/Super_Mario_(series),https://www.metacritic.com/pictures/every-nintendo-franchise-ranked-worst-to-best/44/,https://www.vgchartz.com/gamedb/?name=super+mario
