Juego,Año,Plataforma,Score_critica_0_100,User_Score_0_10,Ventas_millones,Tipo_score,Fuente_dato,Metascore_valido,Grupo_score
Super Mario Bros.,1985,NES,86,8.2,40.24,GameRankings substitute,Metacritic article / VGChartz,False,=90 / no comparable
Super Mario Bros. 2,1988,NES,81,,7.46,GameRankings substitute,Metacritic article / VGChartz,False,=90 / no comparable
Super Mario Bros. 3,1990,NES,98,,17.28,GameRankings substitute,Metacritic article / VGChartz,False,=90 / no comparable
Super Mario World,1991,SNES,94,,20.61,GameRankings substitute,Metacritic article / VGChartz,False,=90 / no comparable
Super Mario 64,1996,Nintendo 64,94,9.2,11.91,Metascore,Metacritic article / VGChartz,True,>90
Super Mario Sunshine,2002,GameCube,92,,5.91,Metascore,Metacritic article / VGChartz,True,>90
New Super Mario Bros.,2006,DS,89,8.1,30.8,Metascore,Metacritic article / VGChartz,True,<90
Super Mario Galaxy,2007,Wii,97,9.6,12.8,Metascore,Metacritic article / VGChartz,True,>90
New Super Mario Bros. Wii,2009,Wii,87,9.2,30.32,Metascore,Metacritic article / VGChartz,True,<90
Super Mario Galaxy 2,2010,Wii,97,9.8,7.41,Metascore,Metacritic article / VGChartz,True,>90
Super Mario 3D Land,2011,3DS,90,,12.89,Metascore,Metacritic article / VGChartz,True,=90 / no comparable
New Super Mario Bros. 2,2012,3DS,78,,13.42,Metascore,Metacritic article / VGChartz,True,<90
New Super Mario Bros. U,2012,Wii U,84,,5.82,Metascore,Metacritic article / VGChartz,True,<90
Super Mario 3D World,2013,Wii U,93,,5.89,Metascore,Metacritic article / VGChartz,True,>90
Super Mario Odyssey,2017,Switch,97,,30.5,Metascore,Metacritic article / VGChartz,True,>90
Super Mario Bros. Wonder,2023,Switch,92,9.5,17.44,Metascore,Metacritic article / VGChartz,True,>90
